,,,,,,,,,
Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec
,,,,,,,,,
0,2406.235,0,2225.16,0,2225.169,0,3031.418,0,2660.827
0.00694,3558.451,0.00694,3162.608,0.00694,3325.886,0.00694,4094.648,0.00694,3957.913
0.01389,4332.426,0.01389,3899.178,0.01389,4173.235,0.01389,4777.784,0.01389,4814.513
0.02083,4778.74,0.02083,4357.768,0.02083,4838.798,0.02083,5135.514,0.02083,5219.144
0.02778,4828.22,0.02778,4374.989,0.02778,5082.937,0.02778,5124.809,0.02778,5109.487
0.03472,4616.682,0.03472,4066.715,0.03472,4886.674,0.03472,4860.821,0.03472,4758.203
0.04167,4299.417,0.04167,3688.722,0.04167,4490.019,0.04167,4528.547,0.04167,4367.157
0.04861,3984.631,0.04861,3358.472,0.04861,4088.324,0.04861,4182.597,0.04861,4014.389
0.05556,3721.055,0.05556,3101.949,0.05556,3729.194,0.05556,3915.546,0.05556,3741.783
0.0625,3488.814,0.0625,2918.541,0.0625,3462.292,0.0625,3696.219,0.0625,3524.865
0.06944,3325.354,0.06944,2788.07,0.06944,3296.618,0.06944,3518.22,0.06944,3389.209
0.07639,3188.157,0.07639,2735.586,0.07639,3211.146,0.07639,3399.677,0.07639,3305.231
0.08333,3125.684,0.08333,2726.937,0.08333,3161.981,0.08333,3298.865,0.08333,3274.811
0.09028,3061.896,0.09028,2730.403,0.09028,3162.811,0.09028,3196.071,0.09028,3265.84
0.09722,3013.323,0.09722,2759.823,0.09722,3187.633,0.09722,3136.764,0.09722,3283.689
0.10417,2981.315,0.10417,2806.252,0.10417,3206.125,0.10417,3066.069,0.10417,3301.602
0.11111,2933.702,0.11111,2810.03,0.11111,3249.114,0.11111,2988.213,0.11111,3293.469
0.11806,2891.525,0.11806,2831.309,0.11806,3277.951,0.11806,2932.93,0.11806,3290.513
0.125,2839.877,0.125,2829.852,0.125,3288.86,0.125,2867.398,0.125,3265.347
0.13194,2788.045,0.13194,2817.066,0.13194,3271.731,0.13194,2797.822,0.13194,3211.831
0.13889,2716.317,0.13889,2782.092,0.13889,3258.102,0.13889,2735.214,0.13889,3158.533
0.14583,2641.837,0.14583,2754.256,0.14583,3222.038,0.14583,2671.538,0.14583,3080.186
0.15278,2564.097,0.15278,2705.635,0.15278,3185.046,0.15278,2593.751,0.15278,3013.223
0.15972,2505.142,0.15972,2646.043,0.15972,3103.869,0.15972,2527.48,0.15972,2921.657
0.16667,2443.074,0.16667,2570.044,0.16667,3050.933,0.16667,2451.001,0.16667,2832.646
0.17361,2378.147,0.17361,2506.823,0.17361,2991.632,0.17361,2371.711,0.17361,2766.168
0.18056,2314.94,0.18056,2435.925,0.18056,2913.448,0.18056,2315.809,0.18056,2687.595
0.1875,2256.446,0.1875,2380.615,0.1875,2834.918,0.1875,2255.965,0.1875,2620.502
0.19444,2222.136,0.19444,2305.049,0.19444,2761.141,0.19444,2197.201,0.19444,2570.758
0.20139,2171.478,0.20139,2238.279,0.20139,2688.877,0.20139,2159.935,0.20139,2507.778
0.20833,2142.935,0.20833,2181.345,0.20833,2613.432,0.20833,2119.669,0.20833,2464.505
0.21528,2110.364,0.21528,2104.429,0.21528,2548.303,0.21528,2088.993,0.21528,2424.182
0.22222,2073.198,0.22222,2051.386,0.22222,2478.971,0.22222,2065.352,0.22222,2370.103
0.22917,2062.205,0.22917,1986.368,0.22917,2397.588,0.22917,2022.072,0.22917,2322.49
0.23611,2028.144,0.23611,1916.736,0.23611,2323.5,0.23611,2006.434,0.23611,2273.629
0.24306,1988.607,0.24306,1860.564,0.24306,2243.684,0.24306,1982.574,0.24306,2239.449
0.25,1979.31,0.25,1806.965,0.25,2195.629,0.25,1958.129,0.25,2199.776
0.25694,1952.806,0.25694,1766.734,0.25694,2128.472,0.25694,1953.664,0.25694,2169.514
0.26389,1938.208,0.26389,1718.032,0.26389,2067.439,0.26389,1933.381,0.26389,2137.706
0.27083,1920.09,0.27083,1682.999,0.27083,2009.321,0.27083,1943.806,0.27083,2117.709
0.27778,1906.389,0.27778,1655.085,0.27778,1964.515,0.27778,1931.797,0.27778,2093.595
0.28472,1907.86,0.28472,1630.8,0.28472,1920.346,0.28472,1937.951,0.28472,2093.466
0.29167,1922.423,0.29167,1618.537,0.29167,1901.625,0.29167,1936.743,0.29167,2081.977
0.29861,1925.629,0.29861,1603.332,0.29861,1869.623,0.29861,1948.038,0.29861,2087.388
0.30556,1925.59,0.30556,1602.623,0.30556,1843.632,0.30556,1968.798,0.30556,2105.221
0.3125,1951.587,0.3125,1600.796,0.3125,1832.724,0.3125,1984.075,0.3125,2114.205
0.31944,1966.382,0.31944,1611.434,0.31944,1829.478,0.31944,2005.519,0.31944,2141.219
0.32639,1999.208,0.32639,1636.584,0.32639,1834.644,0.32639,2039.137,0.32639,2162.321
0.33333,2019.474,0.33333,1655.665,0.33333,1828.364,0.33333,2073.163,0.33333,2216.924
0.34028,2061.749,0.34028,1668.073,0.34028,1839.023,0.34028,2109.188,0.34028,2262.121
0.34722,2090.442,0.34722,1696.091,0.34722,1869.183,0.34722,2140.104,0.34722,2286.599
0.35417,2123.795,0.35417,1724.128,0.35417,1886.474,0.35417,2189.247,0.35417,2340.199
0.36111,2174.474,0.36111,1745.644,0.36111,1891.438,0.36111,2227.023,0.36111,2398.323
0.36806,2222.461,0.36806,1785.805,0.36806,1933.571,0.36806,2274.163,0.36806,2454.988
0.375,2266.37,0.375,1841.308,0.375,1950.494,0.375,2327.626,0.375,2520.036
0.38194,2312.019,0.38194,1870.99,0.38194,1993.394,0.38194,2367.657,0.38194,2561.428
0.38889,2358.612,0.38889,1899.416,0.38889,2030.738,0.38889,2413.17,0.38889,2635.642
0.39583,2402.417,0.39583,1939.407,0.39583,2072.089,0.39583,2474.674,0.39583,2690.424
0.40278,2444.451,0.40278,1971.696,0.40278,2090.844,0.40278,2517.687,0.40278,2741.653
0.40972,2490.088,0.40972,2011.789,0.40972,2128.981,0.40972,2568.626,0.40972,2812.201
0.41667,2547.381,0.41667,2043.148,0.41667,2163.795,0.41667,2621.336,0.41667,2880.708
0.42361,2593.872,0.42361,2074.198,0.42361,2204.555,0.42361,2657.874,0.42361,2924.31
0.43056,2630.067,0.43056,2092.837,0.43056,2225.535,0.43056,2699.847,0.43056,2975.11
0.4375,2671.401,0.4375,2140.364,0.4375,2263.395,0.4375,2762.897,0.4375,3033.575
0.44444,2715.129,0.44444,2153.808,0.44444,2297.358,0.44444,2797.576,0.44444,3083.341
