LumiCycle: Ca1a-Bmal1-1 (Raw),,,,,,,,,
Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec
,,,,,,,,,
0,4509.881,0,6657.573,0,5987.452,0,5566.531,0,6052.05
0.00694,5785.372,0.00694,8006.327,0.00694,7665.437,0.00694,6724.964,0.00694,7572.346
0.01389,6020.038,0.01389,8185.973,0.01389,8284.223,0.01389,7090.669,0.01389,7854.165
0.02083,5882.892,0.02083,8014.102,0.02083,8298.366,0.02083,7057.244,0.02083,7660.794
0.02778,5606.171,0.02778,7702.172,0.02778,8015.126,0.02778,6841.86,0.02778,7343.23
0.03472,5428.633,0.03472,7393.988,0.03472,7620.433,0.03472,6573.951,0.03472,7072.664
0.04167,5246.581,0.04167,7180.883,0.04167,7232.514,0.04167,6322.875,0.04167,6820.605
0.04861,5103.33,0.04861,6983.997,0.04861,6850.592,0.04861,6025.279,0.04861,6606.65
0.05556,4950.55,0.05556,6770.857,0.05556,6474.026,0.05556,5759.355,0.05556,6418.218
0.0625,4847.439,0.0625,6577.655,0.0625,6179.034,0.0625,5531.171,0.0625,6242.15
0.06944,4731.131,0.06944,6382,0.06944,5843.979,0.06944,5286.896,0.06944,6079.811
0.07639,4622.008,0.07639,6189.488,0.07639,5515.601,0.07639,5050.917,0.07639,5957.633
0.08333,4535.625,0.08333,6002.665,0.08333,5220.62,0.08333,4843.397,0.08333,5775.332
0.09028,4415.669,0.09028,5825.131,0.09028,4969.551,0.09028,4619.559,0.09028,5640.333
0.09722,4313.744,0.09722,5670.527,0.09722,4702.872,0.09722,4430.144,0.09722,5467.722
0.10417,4216.598,0.10417,5479.302,0.10417,4472.907,0.10417,4222.049,0.10417,5293.757
0.11111,4104.031,0.11111,5321.358,0.11111,4254.625,0.11111,4031.572,0.11111,5106.532
0.11806,4004.646,0.11806,5143.606,0.11806,4052.871,0.11806,3858.198,0.11806,4950.601
0.125,3889.5,0.125,4964.163,0.125,3862.078,0.125,3688.998,0.125,4789.516
0.13194,3785.92,0.13194,4776.653,0.13194,3700.81,0.13194,3507.576,0.13194,4612.902
0.13889,3649.085,0.13889,4612.206,0.13889,3511.323,0.13889,3346.571,0.13889,4443.068
0.14583,3536.122,0.14583,4441.232,0.14583,3356.2,0.14583,3193.04,0.14583,4270.399
0.15278,3450.564,0.15278,4277.706,0.15278,3231.942,0.15278,3051.811,0.15278,4116.432
0.15972,3329.131,0.15972,4135.151,0.15972,3115.25,0.15972,2933.757,0.15972,3945.602
0.16667,3217.906,0.16667,3984.329,0.16667,3007.88,0.16667,2829.29,0.16667,3827.153
0.17361,3108.973,0.17361,3858.032,0.17361,2918.29,0.17361,2742.884,0.17361,3693.226
0.18056,3033.46,0.18056,3745.26,0.18056,2833.194,0.18056,2655.868,0.18056,3565.1
0.1875,2946.337,0.1875,3632.005,0.1875,2782.152,0.1875,2601.893,0.1875,3469.176
